Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2018
TIME       : 10:26:07
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\Data Collection 04_16_18\CSV\vei_v1280_180417102607_V1280.CSV
CREATED BY : Diver-Office 9.2.0.17
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..06-V1280  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =vei_v1280
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..06-V1280  317.
  Instrument number       =          UTC-4     
  Location                =vei_v1280
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =18:01:17 05/06/17
  End date / time         =18:01:12 16/04/18
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
2017/06/05 17:01:18,1029.067,24.857,0.000
2017/06/05 18:01:18,1026.792,30.520,0.000
2017/06/05 19:01:18,1026.850,25.307,0.000
2017/06/05 20:01:18,1027.025,25.720,0.000
2017/06/05 21:01:18,1027.025,25.960,0.000
2017/06/05 22:01:18,1027.200,25.993,0.000
2017/06/05 23:01:18,1027.667,25.827,0.000
2017/06/06 00:01:18,1027.667,25.847,0.000
2017/06/06 01:01:18,1027.317,25.863,0.000
2017/06/06 02:01:18,1027.025,25.830,0.000
2017/06/06 03:01:18,1026.558,25.800,0.000
2017/06/06 04:01:18,1025.917,25.767,0.000
2017/06/06 05:01:18,1025.625,25.740,0.000
2017/06/06 06:01:18,1025.625,25.663,0.000
2017/06/06 07:01:18,1025.450,25.730,0.000
2017/06/06 08:01:18,1025.625,24.760,0.000
2017/06/06 09:01:18,1025.450,24.510,0.000
2017/06/06 10:01:18,1025.625,24.600,0.000
2017/06/06 11:01:18,1025.508,25.163,0.000
2017/06/06 12:01:18,1024.692,25.827,0.000
2017/06/06 13:01:18,1023.758,25.967,0.000
2017/06/06 14:01:18,1024.517,26.077,0.000
2017/06/06 15:01:18,1023.467,26.117,0.000
2017/06/06 16:01:18,1023.875,26.230,0.000
2017/06/06 17:01:18,1023.467,26.343,0.000
2017/06/06 18:01:18,1020.958,26.410,0.000
2017/06/06 19:01:18,1024.167,26.930,0.000
2017/06/06 20:01:18,1021.425,26.267,0.000
2017/06/06 21:01:18,1021.483,24.953,0.000
2017/06/06 22:01:18,1022.067,25.030,0.000
2017/06/06 23:01:18,1023.117,25.120,0.000
