Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2019
TIME       : 16:05:06
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\Data Collection_01_19\CSV\sws_r2444_190417160505_R2444.CSV
CREATED BY : Diver-Office 10.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..13-R2444  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =sws_r2444
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..13-R2444  317.
  Instrument number       =          UTC-4     
  Location                =sws_r2444
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =14:47:16 08/06/17
  End date / time         =14:47:15 17/04/19
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2017/06/08 16:47:14,1027.317,26.303,0.000
2017/06/08 17:47:14,1027.608,25.413,0.000
2017/06/08 18:47:14,1025.217,25.130,0.000
2017/06/08 19:47:14,1025.858,24.620,0.000
2017/06/08 20:47:14,1026.150,25.153,0.000
2017/06/08 21:47:14,1026.617,25.183,0.000
2017/06/08 22:47:14,1026.967,25.150,0.000
2017/06/08 23:47:14,1027.258,25.010,0.000
2017/06/09 00:47:14,1027.142,24.810,0.000
2017/06/09 01:47:14,1027.433,24.617,0.000
2017/06/09 02:47:14,1027.317,24.450,0.000
2017/06/09 03:47:14,1027.317,24.293,0.000
2017/06/09 04:47:14,1027.317,24.127,0.000
2017/06/09 05:47:14,1027.492,23.967,0.000
2017/06/09 06:47:14,1028.308,23.973,0.000
2017/06/09 07:47:14,1028.483,23.050,0.000
2017/06/09 08:47:14,1032.333,27.500,0.000
2017/06/09 09:47:14,1034.258,30.790,0.000
2017/06/09 10:47:14,1036.300,35.303,0.000
2017/06/09 11:47:14,1036.183,31.033,0.000
2017/06/09 12:47:14,1035.075,29.743,0.000
2017/06/09 13:47:14,1035.192,51.090,0.000
2017/06/09 14:47:14,1034.608,37.520,0.000
2017/06/09 15:47:14,1033.850,36.950,0.000
2017/06/09 16:47:14,1081.333,26.237,11.180
2017/06/09 17:47:14,1077.367,25.537,11.960
2017/06/09 18:47:14,1072.467,25.460,12.188
2017/06/09 19:47:14,1068.675,25.437,12.568
2017/06/09 20:47:14,1069.200,25.427,12.640
2017/06/09 21:47:14,1069.725,25.433,12.588
2017/06/09 22:47:14,1070.192,25.440,12.676
2017/06/09 23:47:14,1070.367,25.457,12.572
