Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/04/2018
TIME       : 10:26:06
FILENAME   : C:\Users\s.verhulst\Desktop\CTD Data\Data Collection 04_16_18\CSV\sws_t2928_180417102606_T2928.CSV
CREATED BY : Diver-Office 9.2.0.17
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..09-T2928  317.
  Instrument number       =          UTC-4     
                          =0
  Location                =sws_t2928
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..09-T2928  317.
  Instrument number       =          UTC-4     
  Location                =sws_t2928
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =01:45:16 08/06/17
  End date / time         =01:45:09 16/04/18
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
2017/06/08 16:45:01,1027.667,26.890,0.000
2017/06/08 17:45:01,1027.842,24.933,0.000
2017/06/08 18:45:01,1025.275,25.237,0.000
2017/06/08 19:45:01,1026.150,25.207,0.000
2017/06/08 20:45:01,1026.500,25.237,0.000
2017/06/08 21:45:01,1027.025,25.227,0.000
2017/06/08 22:45:01,1027.200,25.173,0.000
2017/06/08 23:45:01,1027.667,25.053,0.000
2017/06/09 00:45:01,1027.550,24.857,0.000
2017/06/09 01:45:01,1027.667,24.663,0.000
2017/06/09 02:45:01,1027.550,24.497,0.000
2017/06/09 03:45:01,1027.550,24.340,0.000
2017/06/09 04:45:01,1027.375,24.173,0.000
2017/06/09 05:45:01,1028.192,24.017,0.000
2017/06/09 06:45:01,1028.600,24.023,0.000
2017/06/09 07:45:01,1028.775,23.177,0.000
2017/06/09 08:45:01,1033.033,29.340,0.000
2017/06/09 09:45:01,1033.792,30.650,0.000
2017/06/09 10:45:01,1036.358,34.980,0.000
2017/06/09 11:45:01,1036.417,31.073,0.000
2017/06/09 12:45:01,1035.542,29.887,0.000
2017/06/09 13:45:01,1035.600,49.160,0.000
2017/06/09 14:45:01,1033.617,37.493,0.000
2017/06/09 15:45:01,1034.025,36.983,0.000
2017/06/09 16:45:01,1034.200,34.807,0.000
2017/06/09 17:45:01,1066.342,25.797,23.676
2017/06/09 18:45:01,1066.342,25.687,23.584
2017/06/09 19:45:01,1067.217,25.747,23.620
2017/06/09 20:45:01,1067.858,25.833,23.668
2017/06/09 21:45:01,1068.558,25.917,23.696
2017/06/09 22:45:01,1069.083,25.980,23.748
2017/06/09 23:45:01,1069.433,26.017,23.828
2017/06/10 00:45:01,1069.608,26.030,24.064
2017/06/10 01:45:01,1069.258,26.023,24.228
2017/06/10 02:45:01,1069.083,25.993,24.244
2017/06/10 03:45:01,1068.558,25.950,24.180
2017/06/10 04:45:01,1068.208,25.893,24.224
2017/06/10 05:45:01,1068.208,25.827,24.332
2017/06/10 06:45:01,1068.383,25.757,24.436
2017/06/10 07:45:01,1068.558,25.680,24.536
2017/06/10 08:45:01,1068.733,25.600,24.560
2017/06/10 09:45:01,1068.558,25.517,24.576
2017/06/10 10:45:01,1068.558,25.447,24.568
2017/06/10 11:45:01,1068.208,25.400,24.560
2017/06/10 12:45:01,1071.708,25.400,24.576
2017/06/10 13:45:01,1086.875,25.450,24.676
2017/06/10 14:45:01,1101.925,25.567,24.772
2017/06/10 15:45:01,1097.900,25.703,24.760
